PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JoelEmbiid,27,10,9,16,1,4,6,6,4,37,9-16,1-4,50.0,6-6,100.0,1,9,6,1,4,3,4,30,Philadelphia76ers
TyreseMaxey,25,9,8,16,3,11,0,1,5,39,8-16,3-11,40.7,0-1,0.0,1,8,1,1,2,4,-3,24,Philadelphia76ers
TobiasHarris,17,9,4,8,1,4,6,6,3,38,4-8,1-4,41.7,6-6,100.0,2,7,2,0,0,1,3,20,Philadelphia76ers
KellyOubre,14,8,5,8,1,3,1,2,1,27,5-8,1-3,54.5,1-2,50.0,1,7,0,1,0,0,2,18,Philadelphia76ers
PaulReed,8,4,4,5,0,0,0,0,0,11,4-5,0-0,80.0,0-0,0,3,1,1,1,0,0,-1,11,Philadelphia76ers
NicolasBatum,5,4,1,1,1,2,0,0,1,26,1-1,1-2,66.7,0-0,0,2,2,0,0,1,2,7,10,Philadelphia76ers
RobertCovington,5,3,1,2,1,2,0,0,0,15,1-2,1-2,50.0,0-0,0,2,1,0,2,0,2,6,8,Philadelphia76ers
De&#039;AnthonyMelton,3,4,0,2,1,7,0,0,2,29,0-2,1-7,11.1,0-0,0,0,4,1,1,0,2,-3,1,Philadelphia76ers
PatrickBeverley,2,5,1,1,0,1,0,0,4,15,1-1,0-1,50.0,0-0,0,0,5,0,0,0,2,4,10,Philadelphia76ers
FurkanKorkmaz,0,0,0,2,0,0,0,0,0,3,0-2,0-0,0.0,0-0,0,0,0,1,0,0,0,-4,-3,Philadelphia76ers
Philadelphia76ers,106,56,33,61,9,34,13,15,20,240,33-61,9-34,44.2,13-15,0,12,44,12,7,7,16,15,129,Philadelphia76ers
KristapsPorzingis,29,6,8,13,2,6,7,8,3,31,8-13,2-6,52.6,7-8,87.5,4,2,0,0,1,4,8,29,BostonCeltics
DerrickWhite,19,4,3,7,3,11,4,4,5,38,3-7,3-11,33.3,4-4,100.0,1,3,2,2,1,3,2,17,BostonCeltics
JaysonTatum,16,15,4,8,2,6,2,3,6,37,4-8,2-6,42.9,2-3,66.7,1,14,2,3,0,2,-1,29,BostonCeltics
SamHauser,13,4,2,2,3,6,0,0,0,19,2-2,3-6,62.5,0-0,0,0,4,0,1,1,0,-6,16,BostonCeltics
JrueHoliday,12,5,2,6,2,3,2,2,5,35,2-6,2-3,44.4,2-2,100.0,1,4,2,1,0,1,13,16,BostonCeltics
JaylenBrown,11,2,2,6,2,7,1,2,2,36,2-6,2-7,30.8,1-2,50.0,0,2,4,1,1,2,-3,3,BostonCeltics
AlHorford,3,5,0,0,1,6,0,0,3,26,0-0,1-6,16.7,0-0,0,0,5,1,0,2,1,-23,7,BostonCeltics
PaytonPritchard,0,2,0,2,0,2,0,0,4,16,0-2,0-2,0.0,0-0,0,2,0,1,0,0,0,-2,1,BostonCeltics
LukeKornet,0,0,0,0,0,0,0,0,0,3,0-0,0-0,0,0-0,0,0,0,0,0,0,0,-3,0,BostonCeltics
BostonCeltics,103,43,21,44,15,47,16,19,28,240,21-44,15-47,39.6,16-19,0,9,34,12,8,6,13,-15,118,BostonCeltics
