PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
CadeCunningham,23,8,5,14,3,6,4,4,11,37,40.0,100.0,0,8,1,2,0,3,13,31,DetroitPistons
BojanBogdanovic,22,2,4,5,3,10,5,6,2,27,46.7,83.3,1,1,1,1,0,1,-9,17,DetroitPistons
JalenDuren,17,12,8,8,0,0,1,6,1,30,100.0,16.7,4,8,2,1,2,3,6,26,DetroitPistons
KillianHayes,13,6,5,10,1,1,0,1,3,33,54.5,0.0,0,6,2,2,1,2,7,17,DetroitPistons
IsaiahStewart,11,7,3,4,1,5,2,2,5,30,44.4,100.0,1,6,3,2,0,0,6,17,DetroitPistons
JadenIvey,7,2,2,4,0,3,3,4,1,29,28.6,75.0,0,2,1,0,0,3,0,3,DetroitPistons
AusarThompson,4,7,2,4,0,2,0,0,0,16,33.3,0.0,3,4,2,0,0,5,-14,5,DetroitPistons
MarcusSasser,4,2,2,3,0,2,0,0,1,16,40.0,0.0,0,2,2,0,0,1,-21,2,DetroitPistons
MarvinBagley,0,3,0,1,0,0,0,0,0,7,0.0,0.0,1,2,0,1,0,1,-11,3,DetroitPistons
IsaiahLivers,0,0,0,0,0,1,0,0,0,14,0.0,0.0,0,0,2,0,0,1,-22,-3,DetroitPistons
DetroitPistons,101,51,31,53,8,30,15,23,24,240,47.0,0.0,10,41,16,9,3,20,-45,118,DetroitPistons
MaxStrus,22,5,5,6,4,10,0,0,5,38,56.3,0.0,0,5,1,1,0,4,10,25,ClevelandCavaliers
DariusGarland,22,2,7,16,2,7,2,3,5,34,39.1,66.7,0,2,2,3,1,1,13,16,ClevelandCavaliers
DonovanMitchell,20,3,5,14,2,5,4,5,4,33,36.8,80.0,1,2,4,2,0,2,-13,12,ClevelandCavaliers
JarrettAllen,19,11,8,9,0,0,3,5,3,34,88.9,60.0,5,6,2,1,0,2,4,29,ClevelandCavaliers
GeorgesNiang,12,3,4,4,1,4,1,2,2,22,62.5,50.0,0,3,0,0,0,1,15,13,ClevelandCavaliers
IsaacOkoro,9,6,3,4,1,3,0,0,4,33,57.1,0.0,0,6,0,4,0,3,15,20,ClevelandCavaliers
EvanMobley,6,11,2,5,0,0,2,3,1,36,40.0,66.7,1,10,2,0,0,3,1,12,ClevelandCavaliers
TristanThompson,0,2,0,1,0,0,0,0,0,3,0.0,0.0,1,1,0,0,0,0,0,1,ClevelandCavaliers
SamMerrill,0,0,0,0,0,1,0,0,1,3,0.0,0.0,0,0,0,0,0,1,0,0,ClevelandCavaliers
CraigPorter,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0,0,0,0,0,1,0,0,ClevelandCavaliers
ClevelandCavaliers,110,47,34,59,10,30,12,18,25,240,49.4,0.0,12,35,12,11,1,18,45,128,ClevelandCavaliers
