PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
SpencerDinwiddie,23,9,2,7,3,11,10,10,8,38,2-7,3-11,27.8,10-10,100.0,1,8,1,4,0,0,15,30,BrooklynNets
MikalBridges,22,10,8,14,1,3,3,3,5,38,8-14,1-3,52.9,3-3,100.0,1,9,5,0,0,3,15,24,BrooklynNets
RoyceO&#039;Neale,18,7,0,0,6,12,0,0,4,31,0-0,6-12,50.0,0-0,0,2,5,1,1,2,5,15,25,BrooklynNets
CameronJohnson,18,9,5,7,1,4,5,5,3,27,5-7,1-4,54.5,5-5,100.0,1,8,2,0,0,1,8,23,BrooklynNets
NicClaxton,15,8,7,10,0,0,1,4,0,32,7-10,0-0,70.0,1-4,25.0,2,6,0,1,4,1,20,22,BrooklynNets
LonnieWalker,7,1,1,2,1,4,2,3,2,23,1-2,1-4,33.3,2-3,66.7,0,1,3,0,1,0,-2,3,BrooklynNets
DorianFinney-Smith,5,9,1,5,1,4,0,0,2,26,1-5,1-4,22.2,0-0,0,5,4,0,1,1,4,10,11,BrooklynNets
Day&#039;RonSharpe,5,5,2,4,0,0,1,1,2,15,2-4,0-0,50.0,1-1,100.0,1,4,0,0,0,2,-13,10,BrooklynNets
TrendonWatford,2,1,1,2,0,0,0,0,0,11,1-2,0-0,50.0,0-0,0,0,1,3,0,0,1,-8,-1,BrooklynNets
BrooklynNets,115,59,27,51,13,38,22,26,26,240,27-51,13-38,44.9,22-26,0,13,46,15,7,8,17,60,147,BrooklynNets
ScottieBarnes,17,11,2,12,3,7,4,5,6,36,2-12,3-7,26.3,4-5,80.0,4,7,1,3,0,4,-22,21,TorontoRaptors
PascalSiakam,17,10,6,14,0,4,5,7,2,35,6-14,0-4,33.3,5-7,71.4,2,8,2,1,0,2,-14,14,TorontoRaptors
GaryTrentJr.,15,2,6,8,1,4,0,0,1,25,6-8,1-4,58.3,0-0,0,0,2,0,1,0,1,-6,14,TorontoRaptors
DennisSchroder,14,5,3,10,2,5,2,3,9,32,3-10,2-5,33.3,2-3,66.7,1,4,0,1,0,3,-2,18,TorontoRaptors
ChrisBoucher,13,1,2,3,3,4,0,0,0,12,2-3,3-4,71.4,0-0,0,1,0,0,1,0,0,8,13,TorontoRaptors
OguguaAnunoby,10,3,2,6,2,6,0,0,2,37,2-6,2-6,33.3,0-0,0,2,1,2,0,0,3,-14,5,TorontoRaptors
JakobPoeltl,6,9,3,5,0,0,0,0,4,25,3-5,0-0,60.0,0-0,0,3,6,1,1,2,2,0,19,TorontoRaptors
JalenMcDaniels,5,2,1,3,1,1,0,0,1,13,1-3,1-1,50.0,0-0,0,1,1,0,2,1,2,2,9,TorontoRaptors
MalachiFlynn,5,0,1,2,1,3,0,0,1,16,1-2,1-3,40.0,0-0,0,0,0,0,0,0,1,-10,3,TorontoRaptors
PreciousAchiuwa,1,3,0,2,0,2,1,4,1,10,0-2,0-2,0.0,1-4,25.0,1,2,1,1,0,3,-2,-2,TorontoRaptors
TorontoRaptors,103,46,26,65,13,36,12,19,27,240,26-65,13-36,38.6,12-19,0,15,31,7,11,3,21,-60,114,TorontoRaptors
