PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DonovanMitchell,35,7,7,14,5,10,6,9,6,37,7-14,5-10,50.0,6-9,66.7,2,5,4,1,0,3,0,30,ClevelandCavaliers
DariusGarland,26,3,9,14,1,4,5,5,9,40,9-14,1-4,55.6,5-5,100.0,2,1,0,0,0,1,8,30,ClevelandCavaliers
MaxStrus,17,5,1,2,4,8,3,4,6,31,1-2,4-8,50.0,3-4,75.0,1,4,1,1,0,5,4,22,ClevelandCavaliers
EvanMobley,16,5,8,12,0,0,0,0,2,37,8-12,0-0,66.7,0-0,0,1,4,4,1,1,5,13,17,ClevelandCavaliers
GeorgesNiang,10,5,2,2,2,5,0,0,3,28,2-2,2-5,57.1,0-0,0,1,4,2,0,0,4,14,13,ClevelandCavaliers
JarrettAllen,8,11,4,5,0,0,0,0,2,19,4-5,0-0,80.0,0-0,0,2,9,4,1,0,5,2,17,ClevelandCavaliers
DeanWade,8,5,1,1,2,5,0,0,0,14,1-1,2-5,50.0,0-0,0,1,4,0,0,0,2,-4,10,ClevelandCavaliers
TristanThompson,1,3,0,0,0,0,1,2,0,6,0-0,0-0,0,1-2,50.0,0,3,0,0,1,1,-3,4,ClevelandCavaliers
IsaacOkoro,0,1,0,2,0,2,0,0,1,29,0-2,0-2,0.0,0-0,0,0,1,0,1,0,1,16,-1,ClevelandCavaliers
ClevelandCavaliers,121,48,32,52,14,34,15,20,29,240,32-52,14-34,53.5,15-20,0,10,38,15,5,2,27,50,142,ClevelandCavaliers
PaoloBanchero,42,6,15,21,1,5,9,12,1,38,15-21,1-5,61.5,9-12,75.0,1,5,3,0,2,3,2,35,OrlandoMagic
ColeAnthony,19,7,7,10,1,4,2,3,2,32,7-10,1-4,57.1,2-3,66.7,1,6,2,1,2,3,-5,22,OrlandoMagic
FranzWagner,14,6,3,11,0,5,8,10,9,41,3-11,0-5,18.8,8-10,80.0,2,4,2,3,0,1,-2,15,OrlandoMagic
AnthonyBlack,11,0,5,5,0,0,1,1,0,15,5-5,0-0,100.0,1-1,100.0,0,0,0,0,0,1,-7,11,OrlandoMagic
MoritzWagner,11,4,5,6,0,1,1,4,0,21,5-6,0-1,71.4,1-4,25.0,1,3,3,2,0,2,-11,9,OrlandoMagic
GaryHarris,8,3,1,3,0,4,6,6,3,31,1-3,0-4,14.3,6-6,100.0,1,2,0,1,0,4,0,9,OrlandoMagic
GogaBitadze,6,3,3,3,0,1,0,1,3,25,3-3,0-1,75.0,0-1,0.0,0,3,0,0,1,3,-1,11,OrlandoMagic
JoeIngles,0,4,0,0,0,1,0,0,3,17,0-0,0-1,0.0,0-0,0,0,4,0,1,0,3,-7,7,OrlandoMagic
CalebHoustan,0,3,0,1,0,1,0,0,0,11,0-1,0-1,0.0,0-0,0,1,2,0,0,0,1,-13,1,OrlandoMagic
JalenSuggs,0,0,0,1,0,1,0,0,1,9,0-1,0-1,0.0,0-0,0,0,0,1,2,1,0,-6,1,OrlandoMagic
OrlandoMagic,111,38,39,61,2,23,27,37,22,240,39-61,2-23,48.8,27-37,0,9,29,10,10,6,20,-50,121,OrlandoMagic
