PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DamianLillard,39,8,5,8,4,12,17,17,4,37,5-8,4-12,45.0,17-17,100.0,0,8,0,0,0,2,12,40,MilwaukeeBucks
GiannisAntetokounmpo,23,13,10,19,0,3,3,9,3,35,10-19,0-3,45.5,3-9,33.3,5,8,7,2,2,4,-13,18,MilwaukeeBucks
BrookLopez,13,2,2,3,3,4,0,0,0,29,2-3,3-4,71.4,0-0,0,1,1,2,0,0,4,11,11,MilwaukeeBucks
BobbyPortis,10,6,5,8,0,0,0,4,2,19,5-8,0-0,62.5,0-4,0.0,2,4,0,0,1,3,-10,12,MilwaukeeBucks
JaeCrowder,9,4,2,3,1,1,2,2,2,27,2-3,1-1,75.0,2-2,100.0,0,4,1,2,0,3,11,15,MilwaukeeBucks
PatConnaughton,7,2,1,2,1,4,2,2,2,20,1-2,1-4,33.3,2-2,100.0,0,2,0,0,1,0,-5,8,MilwaukeeBucks
KhrisMiddleton,6,3,1,2,1,3,1,2,4,16,1-2,1-3,40.0,1-2,50.0,0,3,2,2,0,0,14,9,MilwaukeeBucks
MalikBeasley,5,4,1,3,1,1,0,0,3,31,1-3,1-1,50.0,0-0,0,0,4,2,2,0,1,-5,10,MilwaukeeBucks
MarJonBeauchamp,4,2,2,2,0,1,0,0,0,16,2-2,0-1,66.7,0-0,0,1,1,0,0,0,3,-3,5,MilwaukeeBucks
CameronPayne,2,0,1,2,0,1,0,0,0,9,1-2,0-1,33.3,0-0,0,0,0,0,1,0,3,-7,1,MilwaukeeBucks
MilwaukeeBucks,118,44,30,52,11,30,25,36,20,240,30-52,11-30,50.0,25-36,0,9,35,14,9,4,23,5,129,MilwaukeeBucks
TyreseMaxey,31,4,7,14,3,8,8,10,8,40,7-14,3-8,45.5,8-10,80.0,0,4,0,2,0,3,0,31,Philadelphia76ers
KellyOubre,27,4,4,5,5,6,4,4,0,32,4-5,5-6,81.8,4-4,100.0,1,3,3,1,0,4,14,27,Philadelphia76ers
JoelEmbiid,24,7,6,14,3,7,3,8,6,36,6-14,3-7,42.9,3-8,37.5,0,7,7,0,1,5,-1,14,Philadelphia76ers
TobiasHarris,20,7,5,6,3,3,1,2,2,37,5-6,3-3,88.9,1-2,50.0,0,7,2,0,0,2,-14,25,Philadelphia76ers
De&#039;AnthonyMelton,10,2,1,4,2,6,2,2,4,25,1-4,2-6,30.0,2-2,100.0,1,1,1,2,0,2,-4,10,Philadelphia76ers
PaulReed,3,4,1,1,0,1,1,2,2,12,1-1,0-1,50.0,1-2,50.0,1,3,2,0,1,4,0,6,Philadelphia76ers
PatrickBeverley,2,2,1,1,0,0,0,0,2,14,1-1,0-0,100.0,0-0,0,0,2,0,0,0,2,6,6,Philadelphia76ers
P.J.Tucker,0,7,0,0,0,2,0,0,0,26,0-0,0-2,0.0,0-0,0,1,6,0,2,0,5,2,7,Philadelphia76ers
DannyGreen,0,2,0,0,0,1,0,0,1,14,0-0,0-1,0.0,0-0,0,0,2,0,1,0,0,2,3,Philadelphia76ers
JadenSpringer,0,0,0,0,0,1,0,0,0,5,0-0,0-1,0.0,0-0,0,0,0,0,0,2,1,-10,1,Philadelphia76ers
Philadelphia76ers,117,39,25,45,16,35,19,28,25,240,25-45,16-35,51.3,19-28,0,4,35,15,8,4,28,-5,130,Philadelphia76ers
