PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
CadeCunningham,26,3,6,39,12-18,0-6,50.0%,2-3,66.7%,1,2,6,0,1,2,-21,17,DetroitPistons
MarcusSasser,22,3,4,30,5-10,4-6,56.3%,0-0,-,0,3,0,1,0,3,3,23,DetroitPistons
AusarThompson,14,9,4,38,4-11,2-3,42.9%,0-0,-,5,4,1,4,4,3,-13,26,DetroitPistons
KillianHayes,13,2,5,34,3-5,1-3,50.0%,4-4,100.0%,0,2,0,0,1,4,-22,17,DetroitPistons
JalenDuren,12,11,3,31,6-10,0-0,60.0%,0-0,-,3,8,5,2,0,4,-19,19,DetroitPistons
MarvinBagley,11,2,1,11,3-5,0-0,60.0%,5-5,100.0%,1,1,1,0,0,5,7,11,DetroitPistons
IsaiahStewart,8,2,1,34,2-4,1-2,50.0%,1-2,50.0%,0,2,3,0,0,0,-10,4,DetroitPistons
JoeHarris,0,1,1,13,0-0,0-2,0.0%,0-0,-,0,1,0,0,0,1,-5,0,DetroitPistons
MalcolmCazalon,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,0,5,0,DetroitPistons
JaredRhoden,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,0,5,0,DetroitPistons
StanleyUmude,0,0,0,4,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,1,0,-2,DetroitPistons
DetroitPistons,106,33,25,240,35-64,8-23,49.4%,12-14,85.7%  ,10,23,16,7,6,23,-70,115,DetroitPistons
KevinDurant,41,4,5,35,13-24,1-3,51.9%,12-12,100.0%,0,4,3,1,2,1,8,37,PhoenixSuns
EricGordon,21,5,8,31,5-9,3-5,57.1%,2-2,100.0%,2,3,1,1,0,0,23,28,PhoenixSuns
GraysonAllen,14,4,2,30,5-9,1-3,50.0%,1-1,100.0%,1,3,4,0,0,1,6,10,PhoenixSuns
JoshOkogie,10,7,2,29,3-5,0-1,50.0%,4-5,80.0%,4,3,2,2,0,1,8,15,PhoenixSuns
JordanGoodwin,8,7,3,21,0-3,2-4,28.6%,2-2,100.0%,0,7,2,1,1,2,12,13,PhoenixSuns
DrewEubanks,8,3,1,18,4-5,0-0,80.0%,0-0,-,1,2,2,1,3,4,6,13,PhoenixSuns
JusufNurkic,6,4,7,28,1-3,0-1,25.0%,4-6,66.7%,3,1,2,2,3,2,13,15,PhoenixSuns
YutaWatanabe,6,1,0,20,1-1,1-3,50.0%,1-1,100.0%,0,1,2,0,0,1,13,3,PhoenixSuns
SabenLee,4,1,0,3,2-3,0-0,66.7%,0-0,-,1,0,0,0,0,0,-5,4,PhoenixSuns
BolBol,2,0,0,3,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,-5,2,PhoenixSuns
KeitaBates-Diop,0,6,1,20,0-2,0-1,0.0%,0-0,-,2,4,0,0,1,0,1,5,PhoenixSuns
UdokaAzubuike,0,1,0,3,0-0,0-0,-,0-0,-,0,1,0,0,0,1,-5,1,PhoenixSuns
ChimezieMetu,0,0,0,2,0-0,0-0,-,0-0,-,0,0,0,0,0,0,-5,0,PhoenixSuns
PhoenixSuns,120,43,29,240,35-65,8-21,50.0%,26-29,89.7%  ,14,29,18,8,10,13,70,146,PhoenixSuns
