PLAYER,Pts,Reb,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
BrandinPodziemski,23,7,5,39,6-10,3-8,50.0%,2-2,100.0%,1,6,3,1,0,4,11,24,GoldenStateWarriors
DarioSaric,21,4,4,32,3-4,3-11,40.0%,6-6,100.0%,1,3,2,2,0,4,-5,20,GoldenStateWarriors
ChrisPaul,15,5,4,36,4-11,2-3,42.9%,1-1,100.0%,0,5,4,3,1,0,-9,16,GoldenStateWarriors
MosesMoody,11,2,2,14,3-4,1-2,66.7%,2-2,100.0%,1,1,0,1,0,0,-12,14,GoldenStateWarriors
AndrewWiggins,9,7,0,28,3-8,1-7,26.7%,0-0,-,2,5,4,3,1,5,2,5,GoldenStateWarriors
GaryPaytonII,7,3,2,16,2-2,1-3,60.0%,0-0,-,1,2,0,0,0,1,-3,10,GoldenStateWarriors
CoryJoseph,6,0,4,13,0-3,2-3,33.3%,0-1,0.0%,0,0,2,0,0,1,6,3,GoldenStateWarriors
JonathanKuminga,5,2,1,16,2-2,0-1,66.7%,1-2,50.0%,1,1,1,0,0,2,-1,5,GoldenStateWarriors
KevonLooney,2,12,3,32,1-4,0-0,25.0%,0-0,-,6,6,0,1,0,2,2,15,GoldenStateWarriors
TrayceJackson-Davis,2,2,3,12,0-1,0-0,0.0%,2-2,100.0%,0,2,2,0,0,2,-2,4,GoldenStateWarriors
DraymondGreen,0,2,0,2,0-0,0-0,-,0-0,-,0,2,1,0,0,1,-2,1,GoldenStateWarriors
KlayThompson,0,0,0,2,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,-2,-1,GoldenStateWarriors
GoldenStateWarriors,101,46,28,240,24-49,13-39,42.0%,14-16,87.5%  ,13,33,19,11,2,22,-15,116,GoldenStateWarriors
Karl-AnthonyTowns,33,11,2,42,7-14,5-12,46.2%,4-4,100.0%,1,10,5,2,0,1,8,29,MinnesotaTimberwolves
AnthonyEdwards,20,4,4,36,4-10,3-6,43.8%,3-5,60.0%,0,4,5,3,0,1,-9,15,MinnesotaTimberwolves
MikeConley,13,2,8,31,1-2,3-4,66.7%,2-2,100.0%,0,2,1,2,0,1,12,22,MinnesotaTimberwolves
NazReid,10,2,0,16,2-2,2-3,80.0%,0-0,-,0,2,1,0,0,4,-8,10,MinnesotaTimberwolves
RudyGobert,9,13,2,35,2-8,0-0,25.0%,5-6,83.3%,6,7,2,0,3,4,8,18,MinnesotaTimberwolves
KyleAnderson,8,4,3,27,3-7,0-2,33.3%,2-2,100.0%,1,3,2,0,1,4,11,8,MinnesotaTimberwolves
ShakeMilton,6,4,3,15,2-3,0-1,50.0%,2-2,100.0%,0,4,1,0,0,3,8,10,MinnesotaTimberwolves
NickeilAlexander-Walker,5,0,1,25,1-1,1-4,40.0%,0-0,-,0,0,2,1,1,1,-16,3,MinnesotaTimberwolves
TroyBrown,0,2,1,10,0-0,0-1,0.0%,0-0,-,1,1,0,1,0,0,-1,3,MinnesotaTimberwolves
JadenMcDaniels,0,0,0,2,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,2,-1,MinnesotaTimberwolves
MinnesotaTimberwolves,104,42,24,240,22-47,14-34,44.4%,18-21,85.7%  ,9,33,19,9,5,19,15,117,MinnesotaTimberwolves
