PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
BrandinPodziemski,23,7,6,10,3,8,2,2,5,39,50.0,100.0,1,6,3,1,0,4,11,24,GoldenStateWarriors
DarioSaric,21,4,3,4,3,11,6,6,4,32,40.0,100.0,1,3,2,2,0,4,-5,20,GoldenStateWarriors
ChrisPaul,15,5,4,11,2,3,1,1,4,36,42.9,100.0,0,5,4,3,1,0,-9,16,GoldenStateWarriors
MosesMoody,11,2,3,4,1,2,2,2,2,14,66.7,100.0,1,1,0,1,0,0,-12,14,GoldenStateWarriors
AndrewWiggins,9,7,3,8,1,7,0,0,0,28,26.7,0.0,2,5,4,3,1,5,2,5,GoldenStateWarriors
GaryPaytonII,7,3,2,2,1,3,0,0,2,16,60.0,0.0,1,2,0,0,0,1,-3,10,GoldenStateWarriors
CoryJoseph,6,0,0,3,2,3,0,1,4,13,33.3,0.0,0,0,2,0,0,1,6,3,GoldenStateWarriors
JonathanKuminga,5,2,2,2,0,1,1,2,1,16,66.7,50.0,1,1,1,0,0,2,-1,5,GoldenStateWarriors
KevonLooney,2,12,1,4,0,0,0,0,3,32,25.0,0.0,6,6,0,1,0,2,2,15,GoldenStateWarriors
TrayceJackson-Davis,2,2,0,1,0,0,2,2,3,12,0.0,100.0,0,2,2,0,0,2,-2,4,GoldenStateWarriors
DraymondGreen,0,2,0,0,0,0,0,0,0,2,0.0,0.0,0,2,1,0,0,1,-2,1,GoldenStateWarriors
KlayThompson,0,0,0,0,0,1,0,0,0,2,0.0,0.0,0,0,0,0,0,0,-2,-1,GoldenStateWarriors
GoldenStateWarriors,101,46,24,49,13,39,14,16,28,240,42.0,0.0,13,33,19,11,2,22,-15,116,GoldenStateWarriors
Karl-AnthonyTowns,33,11,7,14,5,12,4,4,2,42,46.2,100.0,1,10,5,2,0,1,8,29,MinnesotaTimberwolves
AnthonyEdwards,20,4,4,10,3,6,3,5,4,36,43.8,60.0,0,4,5,3,0,1,-9,15,MinnesotaTimberwolves
MikeConley,13,2,1,2,3,4,2,2,8,31,66.7,100.0,0,2,1,2,0,1,12,22,MinnesotaTimberwolves
NazReid,10,2,2,2,2,3,0,0,0,16,80.0,0.0,0,2,1,0,0,4,-8,10,MinnesotaTimberwolves
RudyGobert,9,13,2,8,0,0,5,6,2,35,25.0,83.3,6,7,2,0,3,4,8,18,MinnesotaTimberwolves
KyleAnderson,8,4,3,7,0,2,2,2,3,27,33.3,100.0,1,3,2,0,1,4,11,8,MinnesotaTimberwolves
ShakeMilton,6,4,2,3,0,1,2,2,3,15,50.0,100.0,0,4,1,0,0,3,8,10,MinnesotaTimberwolves
NickeilAlexander-Walker,5,0,1,1,1,4,0,0,1,25,40.0,0.0,0,0,2,1,1,1,-16,3,MinnesotaTimberwolves
TroyBrown,0,2,0,0,0,1,0,0,1,10,0.0,0.0,1,1,0,1,0,0,-1,3,MinnesotaTimberwolves
JadenMcDaniels,0,0,0,0,0,1,0,0,0,2,0.0,0.0,0,0,0,0,0,0,2,-1,MinnesotaTimberwolves
MinnesotaTimberwolves,104,42,22,47,14,34,18,21,24,240,44.4,0.0,9,33,19,9,5,19,15,117,MinnesotaTimberwolves
