PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
AnthonyDavis,26,16,11,14,0,0,4,5,4,29,11-14,0-0,78.6,4-5,80.0,5,11,2,2,0,1,34,42,LosAngelesLakers
D&#039;AngeloRussell,20,3,4,5,3,4,3,5,8,26,4-5,3-4,77.8,3-5,60.0,0,3,0,0,1,2,30,28,LosAngelesLakers
AustinReaves,19,5,6,9,1,4,4,4,5,26,6-9,1-4,53.8,4-4,100.0,0,5,2,3,0,0,10,24,LosAngelesLakers
LeBronJames,17,7,3,5,3,5,2,2,9,24,3-5,3-5,60.0,2-2,100.0,1,6,2,0,0,0,14,27,LosAngelesLakers
ChristianWood,16,8,5,5,1,2,3,3,2,27,5-5,1-2,85.7,3-3,100.0,1,7,2,0,1,5,13,24,LosAngelesLakers
RuiHachimura,12,6,2,8,2,5,2,2,1,28,2-8,2-5,30.8,2-2,100.0,2,4,1,0,0,3,21,9,LosAngelesLakers
JaxsonHayes,10,2,4,4,0,0,2,3,1,19,4-4,0-0,100.0,2-3,66.7,0,2,2,0,1,1,-2,11,LosAngelesLakers
MaxChristie,7,5,2,3,1,5,0,0,4,25,2-3,1-5,37.5,0-0,0,0,5,0,1,1,2,10,13,LosAngelesLakers
TaureanPrince,4,0,1,4,0,4,2,3,1,31,1-4,0-4,12.5,2-3,66.7,0,0,2,0,1,0,26,-4,LosAngelesLakers
CameronReddish,0,0,0,0,0,0,0,0,0,5,0-0,0-0,0,0-0,0,0,0,0,0,0,1,4,0,LosAngelesLakers
LosAngelesLakers,131,57,38,57,11,29,22,27,35,240,38-57,11-29,57.0,22-27,0,13,44,13,6,5,15,160,174,LosAngelesLakers
OmerYurtseven,18,6,8,10,0,1,2,3,1,17,8-10,0-1,72.7,2-3,66.7,4,2,0,0,0,1,-9,21,UtahJazz
JohnCollins,15,4,4,7,2,5,1,2,1,25,4-7,2-5,50.0,1-2,50.0,2,2,1,1,1,3,-29,14,UtahJazz
CollinSexton,14,3,4,8,2,3,0,0,4,22,4-8,2-3,54.5,0-0,0,0,3,1,0,0,2,-9,15,UtahJazz
SimoneFontecchio,11,4,1,1,3,5,0,0,0,27,1-1,3-5,66.7,0-0,0,2,2,1,0,1,3,-6,13,UtahJazz
LauriMarkkanen,10,8,2,3,2,7,0,0,0,23,2-3,2-7,40.0,0-0,0,1,7,0,1,0,2,-9,13,UtahJazz
KeyonteGeorge,9,3,2,6,1,5,2,2,2,21,2-6,1-5,27.3,2-2,100.0,1,2,2,1,0,2,-21,5,UtahJazz
JordanClarkson,7,0,3,6,0,3,1,1,2,24,3-6,0-3,33.3,1-1,100.0,0,0,2,1,0,1,-24,2,UtahJazz
TalenHorton-Tucker,6,3,1,5,0,5,4,4,7,23,1-5,0-5,10.0,4-4,100.0,0,3,1,2,1,1,-16,9,UtahJazz
KrisDunn,5,0,1,3,1,1,0,0,2,8,1-3,1-1,50.0,0-0,0,0,0,2,0,0,1,1,3,UtahJazz
KellyOlynyk,4,5,1,2,0,4,2,4,5,24,1-2,0-4,16.7,2-4,50.0,2,3,2,0,0,3,-17,5,UtahJazz
LukaSamanic,0,3,0,1,0,2,0,0,1,9,0-1,0-2,0.0,0-0,0,0,3,1,0,0,1,-5,0,UtahJazz
OchaiAgbaji,0,3,0,2,0,3,0,0,0,17,0-2,0-3,0.0,0-0,0,1,2,1,0,0,2,-16,-3,UtahJazz
UtahJazz,99,44,27,54,11,44,12,16,25,240,27-54,11-44,38.8,12-16,0,14,30,14,6,3,22,-160,97,UtahJazz
