PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
DejounteMurray,41,7,14,19,3,5,4,4,5,39,[14 19],[3 5],0.0,[4 4],0.0,0,7,3,2,0,1,25,45,AtlantaHawks
TraeYoung,24,1,8,15,1,7,5,5,8,35,[ 8 15],[1 7],0.0,[5 5],0.0,0,1,1,1,0,1,4,20,AtlantaHawks
De&#039;AndreHunter,16,4,3,5,3,5,1,2,2,30,[3 5],[3 5],0.0,[1 2],0.0,0,4,0,1,0,0,4,18,AtlantaHawks
JalenT.Johnson,12,5,4,5,1,2,1,1,3,33,[4 5],[1 2],0.0,[1 1],0.0,1,4,2,1,1,3,19,18,AtlantaHawks
SaddiqBey,11,6,1,2,3,3,0,0,1,25,[1 2],[3 3],0.0,[0 0],0.0,0,6,1,0,1,2,17,17,AtlantaHawks
OnyekaOkongwu,10,7,3,3,0,0,4,4,3,24,[3 3],[0 0],0.0,[4 4],0.0,2,5,0,0,0,1,22,20,AtlantaHawks
BogdanBogdanovic,8,1,1,3,2,7,0,0,4,20,[1 3],[2 7],0.0,[0 0],0.0,0,1,1,1,0,1,3,6,AtlantaHawks
AJGriffin,3,0,0,0,1,1,0,0,1,6,[0 0],[1 1],0.0,[0 0],0.0,0,0,0,0,0,0,-8,4,AtlantaHawks
ClintCapela,2,5,0,3,0,0,2,2,1,23,[0 3],[0 0],0.0,[2 2],0.0,1,4,1,0,5,3,-4,9,AtlantaHawks
MouhamedGueye,0,0,0,0,0,0,0,0,0,1,[0 0],[0 0],0.0,[0 0],0.0,0,0,0,0,0,0,-4,0,AtlantaHawks
BrunoFernando,0,0,0,0,0,0,0,0,0,1,[0 0],[0 0],0.0,[0 0],0.0,0,0,0,0,0,0,-4,0,AtlantaHawks
KobeBufkin,0,0,0,1,0,0,0,0,0,1,[0 1],[0 0],0.0,[0 0],0.0,0,0,0,0,0,0,-4,-1,AtlantaHawks
AtlantaHawks,127,36,34,56,14,30,17,18,28,240,[34 56],[14 30],0.0,[17 18],0.0,4,32,9,6,7,12,70,156,AtlantaHawks
AnthonyEdwards,31,5,8,13,5,8,0,1,7,38,[ 8 13],[5 8],0.0,[0 1],0.0,0,5,5,1,0,4,-9,30,MinnesotaTimberwolves
Karl-AnthonyTowns,16,10,6,14,1,3,1,1,3,36,[ 6 14],[1 3],0.0,[1 1],0.0,2,8,0,1,0,2,-8,20,MinnesotaTimberwolves
RudyGobert,14,13,3,7,0,0,8,11,1,31,[3 7],[0 0],0.0,[ 8 11],0.0,6,7,0,1,2,2,-13,24,MinnesotaTimberwolves
NazReid,13,1,2,5,3,7,0,0,0,24,[2 5],[3 7],0.0,[0 0],0.0,0,1,1,0,0,1,-21,6,MinnesotaTimberwolves
JadenMcDaniels,12,3,3,4,2,2,0,0,2,24,[3 4],[2 2],0.0,[0 0],0.0,0,3,0,0,1,2,-8,17,MinnesotaTimberwolves
ShakeMilton,10,1,2,6,2,2,0,0,1,17,[2 6],[2 2],0.0,[0 0],0.0,0,1,1,0,0,1,2,7,MinnesotaTimberwolves
MikeConley,6,2,0,3,2,6,0,0,3,28,[0 3],[2 6],0.0,[0 0],0.0,1,1,0,0,0,3,-12,4,MinnesotaTimberwolves
KyleAnderson,4,2,2,3,0,2,0,0,5,25,[2 3],[0 2],0.0,[0 0],0.0,1,1,2,2,1,1,-8,9,MinnesotaTimberwolves
NickeilAlexander-Walker,3,0,0,0,1,3,0,2,2,13,[0 0],[1 3],0.0,[0 2],0.0,0,0,1,0,0,1,-9,0,MinnesotaTimberwolves
LukaGarza,2,1,1,1,0,0,0,0,0,1,[1 1],[0 0],0.0,[0 0],0.0,0,1,0,0,0,0,4,3,MinnesotaTimberwolves
JoshMinott,2,0,1,1,0,0,0,0,0,1,[1 1],[0 0],0.0,[0 0],0.0,0,0,0,0,0,0,4,2,MinnesotaTimberwolves
JordanMcLaughlin,0,0,0,0,0,0,0,0,0,1,[0 0],[0 0],0.0,[0 0],0.0,0,0,0,0,1,0,4,1,MinnesotaTimberwolves
DaishenNix,0,0,0,0,0,0,0,0,0,1,[0 0],[0 0],0.0,[0 0],0.0,0,0,0,0,0,0,4,0,MinnesotaTimberwolves
MinnesotaTimberwolves,113,38,28,57,16,33,9,15,24,240,[28 57],[16 33],0.0,[ 9 15],0.0,10,28,10,5,5,17,-70,123,MinnesotaTimberwolves
